nome,bairro__nome
PAJUCARA I,PAJUÇARA
PAJUACARA,PAJUÇARA
AREIAS PRETA,AREIA PRETA
LAGOA NOVA NATAL,LAGOA NOVA
PARQUE DA DUNAS,PAJUÇARA
PARQUE DAS NAÇOES,CANDELÁRIA
DIXSEPT-ROSADO,DIX-SEPT ROSADO
PARQUE DO JEQUI,NOSSA SENHORA DA APRESENTAÇÃO
NOVA DESOCBERTA,NOVA DESCOBERTA
FELIPE CAMARÂO,FELIPE CAMARÃO
MONTE BELO,NEÓPOLIS
PARQUE DOS COQUE,NOSSA SENHORA DA APRESENTAÇÃO
"GUARAPES,",GUARAPES
QUIKNTAS,QUINTAS
BAIRRO VERMELHO,BARRO VERMELHO
NOSSA SENHORA DA APREENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
SOLEDADE II,POTENGI
CAMARA CASCUDO,LAGOA AZUL
LT JARDIM BRASIL,PAJUÇARA
SOLEDADE,POTENGI
CIDADE PRAIA,CIDADE ALTA
QUITAR,QUINTAS
CIDADE SATELITE,PITIMBU
PETRÓLOLIS,PETRÓPOLIS
NOSSO SENHORA DA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
PARQUE DAS DUNAS,PAJUÇARA
PETROPOLES,PETRÓPOLIS
LAGOA  AZUL,LAGOA AZUL
NEO´POLIS,NEÓPOLIS
LAGOA NOVA.,LAGOA NOVA
CIDADE ESPERANÇA,CIDADE DA ESPERANÇA
PETROPÓLIS,PETRÓPOLIS
NOA DESCOBERTA,NOVA DESCOBERTA
SOLEDADE 2,POTENGI
NOSSA SENHORA DA APRESENTAÇAO,NOSSA SENHORA DA APRESENTAÇÃO
PANATIS,POTENGI
LAGOA NOV A,LAGOA NOVA
BOM PSTOR,BOM PASTOR
PARQUE DAS DUNAS 3,PAJUÇARA
CIDADE ESPERANCA,LAGOA AZUL
IPSEP,NOSSA SENHORA DA APRESENTAÇÃO
NOSSA SENHORA DA APRESENTA��O,NOSSA SENHORA DA APRESENTAÇÃO
NOVA ALIANÇA,IGAPÓ
CANDELARIA,CANDELÁRIA
NEÔPOLIS,NEÓPOLIS
NOSSA SENHORA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
PARQ DOS COQUEIROS,NOSSA SENHORA DA APRESENTAÇÃO
PINTIMBU,PITIMBU
DIXSEPT ROSADO,DIX-SEPT ROSADO
SANTO VALE,PITIMBU
NOVA  DESCOBERTA,NOVA DESCOBERTA
CIDADE DE ESPERANCA,CIDADE DA ESPERANÇA
MONTE CASTELO,PRAIA DO MEIO
NOSSA SENHORA DA APRESENTAÇÃP,NOSSA SENHORA DA APRESENTAÇÃO
JOSE SARNEY,LAGOA AZUL
LAGOA AUL,LAGOA AZUL
DIX-SEPT- ROSADO,DIX-SEPT ROSADO
NEOPÓLIS,NEÓPOLIS
LAGOA NONA,LAGOA NOVA
SANTO REIS,SANTOS REIS
PAJU ARA,PAJUÇARA
DIXT SEPT ROSADO,DIX-SEPT ROSADO
DISEP ROSADO,DIX-SEPT ROSADO
PTIMBU,PITIMBU
PONTENGI,POTENGI
JARDIM PETROPOLIS,NOVA DESCOBERTA
NOSSA SENHORA APRESE,NOSSA SENHORA DA APRESENTAÇÃO
"FELIPE CAMARÃO, NATAL(RN)",FELIPE CAMARÃO
SANVALE,PITIMBU
DISEPT-ROSADO,DIX-SEPT ROSADO
LOGOA NOVA,LAGOA NOVA
IDADE DA ESPERANÇA,CIDADE DA ESPERANÇA
DIX SEPT ROSADO,DIX-SEPT ROSADO
MALVINAS,SALINAS
SATAREM,POTENGI
NOSSA SENHORA DA A PRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
PALANALTO,PLANALTO
IGAPO,IGAPÓ
NOSSA SENHORA DA ARESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
LGOA AZUL,LAGOA AZUL
MIRASOL,CAPIM MACIO
NSSA SENHORA DA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
DIX- SEPT ROSADO,DIX-SEPT ROSADO
CAPIM MACO,CAPIM MACIO
NOSSA SENHORA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
NOSSA SENHORA DA,NOSSA SENHORA DE NAZARÉ
NOSSA SENHORA DA APRESERNTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
PETROPOLIS,PETRÓPOLIS
PANATAIS,POTENGI
NOSSA SENHORA DA APRESENTACAO,NOSSA SENHORA DA APRESENTAÇÃO
CAMARÃO,PONTA NEGRA
TRIROL,TIROL
NOSSA SENHORA APRESENTA ÃO,NOSSA SENHORA DA APRESENTAÇÃO
PIMTIMBU,PITIMBU
V PONTA NEGRA,PONTA NEGRA
CANDELARA,CANDELÁRIA
PASSAGEM DE AREIA,LAGOA AZUL
NOVA NA TAL,LAGOA AZUL
NOSSA SENHORA DE APRESENTAÇAO,NOSSA SENHORA DA APRESENTAÇÃO
MAE LUIZA,MÃE LUÍZA
POTILANDIA,LAGOA NOVA
DISPT ROSADO,DIX-SEPT ROSADO
PITIMBÚ,PITIMBU
PITIBUM,PITIMBU
NOSSA SENHORA DE NAZARE,NOSSA SENHORA DE NAZARÉ
NOSSA SENHORA DA APRETESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
PARQUE DAS NAÇÕES,CANDELÁRIA
FELIPE CAMARAO II,FELIPE CAMARÃO
DIZ SEPT ROSADO,DIX-SEPT ROSADO
GRAMORE,LAGOA AZUL
NOSSA SRA. DA APRESENTAÇÃO,NOSSA SENHORA DA APRESENTAÇÃO
NOSSA SENHORA DE NA,NOSSA SENHORA DE NAZARÉ
POTRNGI,POTENGI
LAGIA SECA,LAGOA SECA
JACANA,PAJUÇARA
DIXSEPTROSADO,DIX-SEPT ROSADO
VIDA NOVA,CIDADE NOVA
NEOPOLIS,NEÓPOLIS
DIX SEP ROSADO,DIX-SEPT ROSADO
CIDADE DA ESPERAN A,CIDADE DA ESPERANÇA
PAJUÇARA II,PAJUÇARA
DIX SEPTROSADO,DIX-SEPT ROSADO
NOVA ESPERANÇA,PONTA NEGRA
B PASTOR,BOM PASTOR
ESPIRITO SANTO - RIO GRANDE DO NORTE,OUTRO
NOSSA SENHORA DA AP,NOSSA SENHORA DA APRESENTAÇÃO
PAJUÇARA I,PAJUÇARA
CIDADE DA ESPERANCA,CIDADE DA ESPERANÇA
MÃE LUIZA,MÃE LUÍZA
FELIPE CAMARAO,FELIPE CAMARÃO
"EXTREMOS, NATAL(RN)",OUTRO
SAO GONCALO DO AMARANTE(RN),OUTRO
PIRANGI,NEÓPOLIS
GURAPES,GUARAPES
AREA PRETA,AREIA PRETA
