Figura;Bairro;Zona
;Alecrim;Leste
;Areia Preta;Leste
;Barro Vermelho;Leste
;Bom Pastor;Oeste
;Candelária;Sul
;Capim Macio;Sul
;Cidade Alta;Leste
;Cidade da Esperança;Oeste
;Cidade Nova;Oeste
;Dix-Sept Rosado;Oeste
;Felipe Camarão;Oeste
;Guarapes;Oeste
;Igapó;Norte
;Lagoa Azul;Norte
;Lagoa Nova;Sul
;Lagoa Seca;Leste
;Mãe Luíza;Leste
;Neópolis;Sul
;Nordeste;Oeste
;Nossa Senhora da Apresentação;Norte
;Nossa Senhora de Nazaré;Oeste
;Nova Descoberta;Sul
;Pajuçara;Norte
;Petrópolis;Leste
;Pitimbu;Sul
;Planalto;Oeste
;Ponta Negra;Sul
;Potengi;Norte
;Praia do Meio;Leste
;Quintas;Oeste
;Redinha;Norte
;Ribeira;Leste
;Rocas;Leste
;Salinas;Norte
;Santos Reis;Leste
;Tirol;Leste
