nome;pop18
Alecrim;26211
Areia Preta;4908
Barro Vermelho;11277
Bom Pastor;18613
Candelária;25033
Capim Macio;23976
Cidade Alta;7504
Cidade da Esperança;18457
Cidade Nova;19734
DIX-SEPT ROSADO;15512
Felipe Camarão;57014
Guarapes;11459
Igapó;30359
Lagoa Azul;68521
Lagoa Nova;39523
Lagoa Seca;4956
MÃE LUÍZA;14262
Neópolis;22945
Nordeste;11767
Nossa Senhora da Apresentação;100948
Nossa Senhora de Nazaré;16481
Nova Descoberta;12326
Pajuçara;73436
Petrópolis;5816
Pitimbu;25503
Planalto;39497
Ponta Negra;25208
Potengi;59083
Praia do Meio;5333
Quintas;24997
Redinha;21048
Ribeira;2269
Rocas;10334
Salinas;1490
Santos Reis;4828
Tirol;17011
