cep;dados_cep
59120460;"{""uf"": ""RN"", ""cep"": ""59120-460"", ""gia"": """", ""ibge"": """", ""bairro"": ""Potengi"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua da Jaqueira"", ""complemento"": """"}"
59106018;"{""uf"": ""RN"", ""cep"": ""59106-018"", ""gia"": """", ""ibge"": """", ""bairro"": ""Igapó"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""4ª Travessa Presidente Médici"", ""complemento"": """"}"
59114151;"{""uf"": ""RN"", ""cep"": ""59114-151"", ""gia"": """", ""ibge"": """", ""bairro"": ""Nossa Senhora da Apresentação"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Travessa João Paulo II"", ""complemento"": """"}"
59040084;"{""uf"": ""RN"", ""cep"": ""59040-084"", ""gia"": """", ""ibge"": """", ""bairro"": ""Alecrim"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Miramar do Potengi"", ""complemento"": """"}"
59064000;"{""uf"": ""RN"", ""cep"": ""59064-000"", ""gia"": """", ""ibge"": """", ""bairro"": ""Candelária"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Avenida Senador Salgado Filho - de 2862 a 2896 - lado par"", ""complemento"": """"}"
59082130;"{""uf"": ""RN"", ""cep"": ""59082-130"", ""gia"": """", ""ibge"": """", ""bairro"": ""Capim Macio"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Missionário Joel Carlson"", ""complemento"": """"}"
59035240;"{""uf"": ""RN"", ""cep"": ""59035-240"", ""gia"": """", ""ibge"": """", ""bairro"": ""Quintas"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua da Concórdia"", ""complemento"": """"}"
59022440;"{""uf"": ""RN"", ""cep"": ""59022-440"", ""gia"": """", ""ibge"": """", ""bairro"": ""Tirol"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Palmira Rêgo"", ""complemento"": """"}"
59071050;"{""uf"": ""RN"", ""cep"": ""59071-050"", ""gia"": """", ""ibge"": """", ""bairro"": ""Cidade da Esperança"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Fortaleza"", ""complemento"": """"}"
59115684;"{""uf"": ""RN"", ""cep"": ""59115-684"", ""gia"": """", ""ibge"": """", ""bairro"": ""Nossa Senhora da Apresentação"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Travessa dos Bravos"", ""complemento"": """"}"
59123614;"{""uf"": ""RN"", ""cep"": ""59123-614"", ""gia"": """", ""ibge"": """", ""bairro"": ""Pajuçara"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua Apolônio Félix"", ""complemento"": """"}"
59067680;"{""uf"": ""RN"", ""cep"": ""59067-680"", ""gia"": """", ""ibge"": """", ""bairro"": ""Pitimbu"", ""unidade"": """", ""localidade"": ""Natal"", ""logradouro"": ""Rua do Jequitibá"", ""complemento"": """"}"
