bairro;nome;tipo
Nossa Senhora da Apresentação;Parque dos Coqueiros;C
Nossa Senhora da Apresentação;Alvorada VI;C
Nossa Senhora da Apresentação;IPE;C
Nossa Senhora da Apresentação;Planície das Mangueiras;C
Nossa Senhora da Apresentação;Icapuí;C
Nossa Senhora da Apresentação;Alameda das Fronteiras;C
Nossa Senhora da Apresentação;Alvorada IV;C
Nossa Senhora da Apresentação;Jocaza;L
Nossa Senhora da Apresentação;Aliança;L
Nossa Senhora da Apresentação;Boa Sorte II;L
Nossa Senhora da Apresentação;Libanês;L
Nossa Senhora da Apresentação;Santarém;L
Nossa Senhora da Apresentação;Vale Dourado;L
Nossa Senhora da Apresentação;Parque Ponte Nova;L
Nossa Senhora da Apresentação;Bom Jesus;L
Nossa Senhora da Apresentação;Boa Sorte;L
Lagoa Azul;Eldorado;C
Lagoa Azul;Gramoré;C
Lagoa Azul;Nova Natal;C
Lagoa Azul;Cidade Praia;C
Lagoa Azul;Nova Natal II;C
Lagoa Azul;Nova Natal B;L
Lagoa Azul;Esperança;L
Lagoa Azul;Nordelândia;L
Lagoa Azul;Bom Jesus;L
Lagoa Azul;Câmara Cascudo;L
Lagoa Azul;José Sarney;L
Lagoa Azul;Passagem da Vila;L
Pajuçara;Pajuçara;C
Pajuçara;Vila Verde I;C
Pajuçara;Além Potengi;C
Pajuçara;Novo Horizonte;C
Pajuçara;Vila Verde II;C
Pajuçara;Vista Verde;C
Pajuçara;Parque da Dunas I;C
Pajuçara;Parque da Dunas II;C
Pajuçara;Parque da Dunas III;C
Pajuçara;Parque da Dunas IV;C
Pajuçara;Parque da Dunas V;C
Pajuçara;Parque da Dunas VI;C
Pajuçara;Brasil Novo;C
Pajuçara;Alvorada I;C
Pajuçara;João Paulo II;C
Pajuçara;CNB I;C
Pajuçara;CNB II;C
Pajuçara;Alvorada V;C
Pajuçara;Parque Floresta;L
Pajuçara;Bela Vista;L
Pajuçara;Dom Pedro I;L
Pajuçara;Itamarati;L
Pajuçara;Espacial;L
Pajuçara;Caiana;L
Pajuçara;KI-Panorama;L
Pajuçara;Riomar;L
Pajuçara;Jardim Brasil;L
Pajuçara;Vila Verde II;L
Pajuçara;Loteamento Novo Horizonte;L
Pajuçara;Brasil Novo;L
Potengi;Soledade I;C
Potengi;Soledade I;C
Potengi;Potengi;C
Potengi;Panorama II;C
Potengi;Panorama I;C
Potengi;Panatis I;C
Potengi;Panatis II;C
Potengi;Panatis III;C
Potengi;Santa Catarina;C
Potengi;Santarém;C
Potengi;Morada Panatis;C
Potengi;Mar Del Plata;L
Potengi;Sítio Novo;L
Potengi;Sesquicentenário;L
Potengi;Bosque do Rio;L
Potengi;Dom Vital;L
Redinha;Empercon / Residencial Redinha;C
Redinha;Casa Nova / Niterói;C
Redinha;Raio de Sol;C
Redinha;Jardim das Flores;C
Redinha;Garis;C
Redinha;Para desabrigados (Alto da Torre);L
Redinha;Santo Antônio;L
Salinas;Panorama II;C
Salinas;Panorama I;C
Igapó;Cidade do Sol;C
Igapó;Igapó;C
Igapó;Santa Rita - 2;L
Igapó;Amazonas;L
Igapó;Paraíso;L
Igapó;Gancho;L
Igapó;Nova Aldeia;L
Igapó;Aldeia Velha;L
Igapó;São José;L
Lagoa Nova;Parque das Serras;C
Lagoa Nova;Roselândia;C
Lagoa Nova;Cooperativa Potiguar;C
Lagoa Nova;Lagoa Nova II;C
Lagoa Nova;Nova DImensão;C
Lagoa Nova;Lagoa Nova I;C
Lagoa Nova;Potilândia;C
Lagoa Nova;SESC;C
Capim Macio;Mirassol;C
Capim Macio;Cidade Jardim;L
Capim Macio;Capim Macio II;C
Capim Macio;Universitário;C
Capim Macio;Flamboyants;C
Capim Macio;Village dos Mares;C
Capim Macio;Capim Macio I;C
Capim Macio;Professores;C
Capim Macio;Parque São Mario;L
Capim Macio;Parque Nuporanga;L
Capim Macio;Marina Praia Sul;L
Capim Macio;Parque São Vicente;L
Candelária;Bairro Latino;C
Candelária;Vila Morena;
Candelária;Parque das Pedras;C
Candelária;Vila três Irmãos;L
Candelária;Jardim Santa Helena;L
Candelária;Parque Capim Macio;L
Candelária;Vila Popular;L
Candelária;Santanópolis;L
Nova Descoberta;Morro Branco;
Pitimbu;Cidade Satélite;C
Pitimbu;Canto dos Pássaros;C
Pitimbu;Bancários;C
Pitimbu;Parque Vale do Pitimbu;L
Bom Pastor;Santa Esmeralda;C
Bom Pastor;Monte Líbano;L
Bom Pastor;Vida Nova;C
Felipe Camarão;Jardim América;C
Felipe Camarão;Lavadeiras;C
Felipe Camarão;Felipe Camarão II;C
Felipe Camarão;Felipe Camarão III;C
Felipe Camarão;Morada Nova;C
Felipe Camarão;Praia Mar;C
Felipe Camarão;Suassuna;L
Guarapes;Conjunto Dinarte Mariz;C
Guarapes;Leningrado;C
Guarapes;Leningrado;C
Guarapes;Jardim Botânico;L
Nova Descoberta;Potiguar I;C
Nova Descoberta;Gran Prix de Jarama;C
Nova Descoberta;Jardim Paris;C
Neópolis;Jardim Botânico;C
Neópolis;Jiqui;C
Neópolis;Pirangi Sul;C
Neópolis;Pirangi 3ª Etapa;C
Neópolis;Pirangi 2ª Etapa;C
Neópolis;Pirangi 1ª Etapa;C
Neópolis;Serrambi VII;C
Neópolis;Serrambi IV;C
Neópolis;Residencial Neópolis;C
Neópolis;Três Estradas;L
Neópolis;Monte Bello;L
Neópolis;Shangrila;L
Ponta Negra;Serrambi I;C
Ponta Negra;Serrambi II;C
Ponta Negra;Serrambi III;C
Ponta Negra;Alagamar;C
Ponta Negra;Boa Esperança;L
Ponta Negra;São Paulo;L
Ponta Negra;Vila de Ponta Negra;L
Ponta Negra;Pedro Rodrigues;L
Ponta Negra;Campeão;L
Ponta Negra;São Romão;L
Ponta Negra;Parque Jangada;L
Ponta Negra;M. Martins e Cia;L
Ponta Negra;Jardim Ponta Negra;L
Ponta Negra;Vina Del Mar;L
Ponta Negra;Parque São Francisco;L
Ponta Negra;Parque Panorama;L
Ponta Negra;SANTA BÁRBARA;L
Mãe Luíza;Brisa do Mar;C
Petrópolis;Associação dos professores da UFRN;L
Praia do Meio;Monte Carlos;L
Tirol;INPS;C
Dix-Sept Rosado;Jardim Esperança;L
Nordeste;Boa Vista;C
Planalto;Residencial Solar Planalto;C
Planalto;Bela Vista;C
Planalto;Desmembramento Conivel;C
Planalto;Emanuel Bezerra;C
Planalto;Tecnart;C
Planalto;Agroville;L
Planalto;Jardim do Satélite;L
Pitimbu;San Vale;
Cidade Alta;Centro;
